url,city,country
https://tomsk.aviastal.ru/,Томск,Россия
https://tula.aviastal.ru/,Тула,Россия
https://tyumen.aviastal.ru/,Тюмень,Россия
https://uzgen.aviastal.kg/,Узген,Киргизия
https://ulan-ude.aviastal.ru/,Улан-Удэ,Россия
https://ulyanovsk.aviastal.ru/,Ульяновск,Россия
https://uralsk.aviastal.kz/,Уральск,Казахстан
https://ussuriysk.aviastal.ru/,Уссурийск,Россия
https://yk.aviastal.kz/,Усть-Каменогорск,Казахстан
https://ufa.aviastal.ru/,Уфа,Россия
https://fergana.aviastal.uz/,Фергана,Узбекистан
https://khabarovsk.aviastal.ru/,Хабаровск,Россия
https://hanty-mansijsk.aviastal.ru/,Ханты-Мансийск,Россия
https://khasavyurt.aviastal.ru/,Хасавюрт,Россия
https://herson.aviastal.ru/,Херсон,Украина
https://himki.aviastal.ru/,Химки,Россия
https://cheboksary.aviastal.ru/,Чебоксары,Россия
https://chelyabinsk.aviastal.ru/,Челябинск,Россия
https://cherepovets.aviastal.ru/,Череповец,Россия
https://cherkessk.aviastal.ru/,Черкесск,Россия
https://chita.aviastal.ru/,Чита,Россия
https://shahty.aviastal.ru/,Шахты,Россия
https://shymkent.aviastal.kz/,Шымкент,Казахстан
https://shchelkovo.aviastal.ru/,Щёлково,Россия
https://elektrostal.aviastal.ru/,Электросталь,Россия
https://elista.aviastal.ru/,Элиста,Россия
https://engels.aviastal.ru/,Энгельс,Россия
https://yuzhno-sahalinsk.aviastal.ru/,Южно-Сахалинск,Россия
https://yakutsk.aviastal.ru/,Якутск,Россия
https://yaroslavl.aviastal.ru/,Ярославль,Россия
